# == pyFAI calibration ==
# Distance Sample to Detector: 1.19389178917929 m
# PONI: 2.049e-01, 2.073e-01 m
# Rotations: -0.002895 0.008002 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1193.935 mm
# Center: x=712.167, y=724.652 pix
# Tilt: 0.488 deg  TiltPlanRot: 70.108 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.960e-04, 2.960e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.393e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> example-analysis/integrated.dat
#       2th_deg             I 
  9.645172e-01    2.444321e+00
  9.673757e-01    2.368190e+00
  9.702343e-01    2.328890e+00
  9.730928e-01    2.350145e+00
  9.759513e-01    2.353718e+00
  9.788098e-01    2.469058e+00
  9.816683e-01    2.508195e+00
  9.845268e-01    2.501415e+00
  9.873854e-01    2.501998e+00
  9.902439e-01    2.455185e+00
  9.931024e-01    2.373533e+00
  9.959609e-01    2.319289e+00
  9.988194e-01    2.317447e+00
  1.001678e+00    2.343709e+00
  1.004536e+00    2.339094e+00
  1.007395e+00    2.319134e+00
  1.010254e+00    2.370321e+00
  1.013112e+00    2.339309e+00
  1.015971e+00    2.326528e+00
  1.018829e+00    2.371140e+00
  1.021688e+00    2.381681e+00
  1.024546e+00    2.332773e+00
  1.027405e+00    2.351253e+00
  1.030263e+00    2.340674e+00
  1.033122e+00    2.359694e+00
  1.035980e+00    2.398130e+00
  1.038839e+00    2.415645e+00
  1.041697e+00    2.356509e+00
  1.044556e+00    2.279449e+00
  1.047414e+00    2.202860e+00
  1.050273e+00    2.190655e+00
  1.053131e+00    2.216636e+00
  1.055990e+00    2.240252e+00
  1.058848e+00    2.346431e+00
  1.061707e+00    2.424053e+00
  1.064565e+00    2.393269e+00
  1.067424e+00    2.412119e+00
  1.070282e+00    2.461684e+00
  1.073141e+00    2.453299e+00
  1.075999e+00    2.494663e+00
  1.078858e+00    2.617154e+00
  1.081716e+00    2.584203e+00
  1.084575e+00    2.525749e+00
  1.087434e+00    2.505875e+00
  1.090292e+00    2.490300e+00
  1.093151e+00    2.473038e+00
  1.096009e+00    2.483114e+00
  1.098868e+00    2.472905e+00
  1.101726e+00    2.585546e+00
  1.104585e+00    2.622542e+00
  1.107443e+00    2.668696e+00
  1.110302e+00    2.693247e+00
  1.113160e+00    2.715427e+00
  1.116019e+00    2.684363e+00
  1.118877e+00    2.663341e+00
  1.121736e+00    2.653934e+00
  1.124594e+00    2.629171e+00
  1.127453e+00    2.560230e+00
  1.130311e+00    2.509197e+00
  1.133170e+00    2.486433e+00
  1.136028e+00    2.445985e+00
  1.138887e+00    2.417251e+00
  1.141745e+00    2.385075e+00
  1.144604e+00    2.437181e+00
  1.147462e+00    2.543934e+00
  1.150321e+00    2.579833e+00
  1.153179e+00    2.620286e+00
  1.156038e+00    2.648243e+00
  1.158897e+00    2.622379e+00
  1.161755e+00    2.586418e+00
  1.164614e+00    2.576754e+00
  1.167472e+00    2.564480e+00
  1.170331e+00    2.531483e+00
  1.173189e+00    2.499447e+00
  1.176048e+00    2.438919e+00
  1.178906e+00    2.392885e+00
