# == pyFAI calibration ==
# Distance Sample to Detector: 1.1940462449808116 m
# PONI: 2.115e-01, 2.068e-01 m
# Rotations: -0.003366 0.000439 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1194.053 mm
# Center: x=712.136, y=716.184 pix
# Tilt: 0.195 deg  TiltPlanRot: 7.430 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.960e-04, 2.960e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.393e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /Users/mbcx9cd4/Documents/GitHub/pyFAI-integration-caking/analysis/integrated.dat
#       2th_deg             I 
  6.848065e-01    2.168746e+00
  6.862339e-01    2.184223e+00
  6.876612e-01    2.222177e+00
  6.890886e-01    2.249880e+00
  6.905159e-01    2.268301e+00
  6.919432e-01    2.277685e+00
  6.933706e-01    2.264241e+00
  6.947979e-01    2.236434e+00
  6.962253e-01    2.170229e+00
  6.976526e-01    2.112056e+00
  6.990799e-01    2.121476e+00
  7.005073e-01    2.167937e+00
  7.019346e-01    2.171360e+00
  7.033620e-01    2.161994e+00
  7.047893e-01    2.129452e+00
  7.062166e-01    2.101592e+00
  7.076440e-01    2.069521e+00
  7.090713e-01    2.060803e+00
  7.104987e-01    2.136046e+00
  7.119260e-01    2.198392e+00
  7.133533e-01    2.197318e+00
  7.147807e-01    2.167487e+00
  7.162080e-01    2.153874e+00
  7.176354e-01    2.145023e+00
  7.190627e-01    2.164821e+00
  7.204900e-01    2.163195e+00
  7.219174e-01    2.167202e+00
  7.233447e-01    2.170337e+00
  7.247721e-01    2.166106e+00
  7.261994e-01    2.160227e+00
  7.276267e-01    2.148998e+00
  7.290541e-01    2.136337e+00
  7.304814e-01    2.135245e+00
  7.319088e-01    2.113919e+00
  7.333361e-01    2.076802e+00
  7.347634e-01    2.089580e+00
  7.361908e-01    2.120461e+00
  7.376181e-01    2.122357e+00
  7.390455e-01    2.133901e+00
  7.404728e-01    2.185920e+00
  7.419001e-01    2.255382e+00
  7.433275e-01    2.313313e+00
  7.447548e-01    2.335841e+00
  7.461822e-01    2.347681e+00
  7.476095e-01    2.357574e+00
  7.490368e-01    2.361445e+00
  7.504642e-01    2.384412e+00
  7.518915e-01    2.446606e+00
  7.533189e-01    2.464313e+00
  7.547462e-01    2.484468e+00
  7.561735e-01    2.504422e+00
  7.576009e-01    2.468501e+00
  7.590282e-01    2.472866e+00
  7.604556e-01    2.498000e+00
  7.618829e-01    2.528346e+00
  7.633102e-01    2.542743e+00
  7.647376e-01    2.511991e+00
  7.661649e-01    2.476526e+00
  7.675923e-01    2.420473e+00
  7.690196e-01    2.383538e+00
  7.704469e-01    2.326258e+00
  7.718743e-01    2.308473e+00
  7.733016e-01    2.269518e+00
  7.747290e-01    2.267580e+00
  7.761563e-01    2.294342e+00
  7.775836e-01    2.322031e+00
  7.790110e-01    2.366134e+00
  7.804383e-01    2.371310e+00
  7.818657e-01    2.436294e+00
  7.832930e-01    2.478608e+00
  7.847203e-01    2.487679e+00
  7.861477e-01    2.453409e+00
  7.875750e-01    2.400082e+00
  7.890024e-01    2.340086e+00
  7.904297e-01    2.312674e+00
  7.918570e-01    2.321775e+00
  7.932844e-01    2.375690e+00
  7.947117e-01    2.400252e+00
  7.961391e-01    2.393210e+00
  7.975664e-01    2.385666e+00
  7.989937e-01    2.349943e+00
  8.004211e-01    2.331652e+00
  8.018484e-01    2.318133e+00
  8.032758e-01    2.297822e+00
  8.047031e-01    2.301652e+00
  8.061304e-01    2.314446e+00
  8.075578e-01    2.277557e+00
  8.089851e-01    2.251711e+00
  8.104125e-01    2.242924e+00
  8.118398e-01    2.257082e+00
  8.132671e-01    2.310694e+00
  8.146945e-01    2.358585e+00
  8.161218e-01    2.390229e+00
  8.175492e-01    2.404545e+00
  8.189765e-01    2.391395e+00
  8.204038e-01    2.349572e+00
  8.218312e-01    2.354313e+00
  8.232585e-01    2.359390e+00
  8.246859e-01    2.351952e+00
  8.261132e-01    2.318255e+00
  8.275405e-01    2.284902e+00
  8.289679e-01    2.261440e+00
  8.303952e-01    2.268240e+00
  8.318226e-01    2.295507e+00
  8.332499e-01    2.314344e+00
  8.346773e-01    2.340685e+00
  8.361046e-01    2.370851e+00
  8.375319e-01    2.372594e+00
  8.389593e-01    2.366643e+00
  8.403866e-01    2.376698e+00
  8.418140e-01    2.375818e+00
  8.432413e-01    2.371628e+00
  8.446686e-01    2.353010e+00
  8.460960e-01    2.354461e+00
  8.475233e-01    2.359308e+00
  8.489507e-01    2.347905e+00
  8.503780e-01    2.320148e+00
  8.518053e-01    2.346670e+00
  8.532327e-01    2.395061e+00
  8.546600e-01    2.428490e+00
  8.560874e-01    2.477006e+00
  8.575147e-01    2.474999e+00
  8.589420e-01    2.463449e+00
  8.603694e-01    2.432775e+00
  8.617967e-01    2.411665e+00
  8.632241e-01    2.418903e+00
  8.646514e-01    2.417934e+00
  8.660787e-01    2.390006e+00
  8.675061e-01    2.382285e+00
  8.689334e-01    2.374943e+00
